state,x,y
Andaman and Nicobar Islands,239.0,-273.0
Andhra Pradesh,-98.0,-199.0
Arunachal Pradesh,264.0,244.0
Assam,278.0,150.0
Bihar,83.0,125.0
Chandigarh,-171.0,262.0
Chhattisgarh,-21.0,-18.0
Dadra and Nagar Haveli and Daman and Diu,-257.0,-33.0
Delhi,-147.0,205.0
Goa,-232.0,-183.0
Gujarat,-315.0,42.0
Haryana,-171.0,222.0
Himachal Pradesh,-143.0,305.0
Jammu and Kashmir,-214.0,362.0
Jharkhand,66.0,63.0
Karnataka,-195.0,-214.0
Kerala,-168.0,-330.0
Ladakh,-150.0,397.0
Lakshadweep,-291.0,-363.0
Madhya Pradesh,-127.0,48.0
Maharashtra,-196.0,-67.0
Manipur,308.0,102.0
Meghalaya,213.0,122.0
Mizoram,284.0,55.0
Nagaland,322.0,149.0
Odisha,52.0,-32.0
Puducherry,-71.0,-291.0
Punjab,-218.0,279.0
Rajasthan,-288.0,150.0
Sikkim,155.0,183.0
Tamil Nadu,-116.0,-314.0
Telangana,-118.0,-102.0
Tripura,243.0,74.0
Uttar Pradesh,-82.0,155.0
Uttarakhand,-90.0,252.0
West Bengal,135.0,50.0
